Title;Price;Size;Address;Description;Building Year;Apartment Type;Debt-free Price;Maintenance Charge;Living Area;Rooms;Floor;District;City
Capellanranta 3 E, Kalasatama, Helsinki●2h+avok+kph+lasitettu parveke (yhtiöjärjestyksen mukaan 2h+kt);435 000 €;52,5 m²;Capellanranta 3 E, Kalasatama, Helsinki;2h+avok+kph+lasitettu parveke (yhtiöjärjestyksen mukaan 2h+kt);2021;Kerrostalo;435 000 €;262,50 € / kk;52,5 m²;2;6 / 8;Kalasatama;Helsinki
Kaljaasi Fortunan katu 1 C, Kalasatama, Helsinki●2h+k+kph+et+las.parv;339 000 €;38 m²;Kaljaasi Fortunan katu 1 C, Kalasatama, Helsinki;2h+k+kph+et+las.parv;2021;Kerrostalo;339 000 €;167,20 € / kk;38 m²;2;4 / 12;Kalasatama;Helsinki
Eläinlääkärinkatu 7 A, Hermanni, Helsinki●2h+avok.+parv.;247 000 €;38 m²;Eläinlääkärinkatu 7 A, Hermanni, Helsinki;2h+avok.+parv.;2014;Kerrostalo;247 000 €;171 € / kk;38 m²;2;1 / 7;Hermanni;Helsinki
Tukkutorinkuja 16 A, Kalasatama, Helsinki●2h+kt;348 000 €;40,5 m²;Tukkutorinkuja 16 A, Kalasatama, Helsinki;2h+kt;2019;Kerrostalo;348 000 €;166,05 € / kk;40,5 m²;2;7 / 8;Kalasatama;Helsinki
Verkkoneula 5 C 70, Kalasatama, Helsinki●2h + kt;38 652 €;44,5 m²;Verkkoneula 5 C 70, Kalasatama, Helsinki;2h + kt;2024;Kerrostalo;N/A;N/A;44,5 m²;2;4 / 10;Kalasatama;Helsinki
Vanha talvitie 31 A39, Kalasatama, Helsinki●1h+kph;378 200 €;61 m²;Vanha talvitie 31 A39, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;378 200 €;N/A;61 m²;2;6;Kalasatama;Helsinki
Kalasatamankatu 36 A 10, Kalasatama, Helsinki●2h+kt;240 000 €;40,5 m²;Kalasatamankatu 36 A 10, Kalasatama, Helsinki;2h+kt;2024;Kerrostalo;240 000 €;N/A;40,5 m²;2;4 / 6;Kalasatama;Helsinki
Vanha talvitie 31 A23, Kalasatama, Helsinki●1h+kph;369 000 €;61,5 m²;Vanha talvitie 31 A23, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;369 000 €;N/A;61,5 m²;2;4;Kalasatama;Helsinki
Verkkosaarenranta 2 A 11, Kalasatama, Helsinki●2h + avok + p;338 350 €;45 m²;Verkkosaarenranta 2 A 11, Kalasatama, Helsinki;2h + avok + p;2025;Kerrostalo;338 350 €;N/A;45 m²;2;3 / 6;Kalasatama;Helsinki
Verkkosaarenkatu 12 A 14, Kalasatama, Helsinki;442 000 €;52 m²;Verkkosaarenkatu 12 A 14, Kalasatama, Helsinki;N/A;2024;Kerrostalo;442 000 €;N/A;52 m²;2;4 / 6;Kalasatama;Helsinki
Verkkosaarenkatu 12 A 4, Kalasatama, Helsinki●2h, avok, kph, avoterassi;335 000 €;43 m²;Verkkosaarenkatu 12 A 4, Kalasatama, Helsinki;2h, avok, kph, avoterassi;2024;Kerrostalo;335 000 €;N/A;43 m²;2;2 / 5;Kalasatama;Helsinki
Sompasaarenlaituri 24 H 36, Kalasatama, Helsinki●2h+kt+s;648 000 €;64 m²;Sompasaarenlaituri 24 H 36, Kalasatama, Helsinki;2h+kt+s;2024;Kerrostalo;648 000 €;N/A;64 m²;2;3 / 6;Kalasatama;Helsinki
Vanha talvitie 31 A10, Kalasatama, Helsinki●1h+kph;365 800 €;62 m²;Vanha talvitie 31 A10, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;365 800 €;N/A;62 m²;2;3;Kalasatama;Helsinki
Antareksenkatu 22 A, Kalasatama, Helsinki●2h+avok+kph/wc+sauna+parveke (yj. mukaan 2h+kt+s);369 000 €;51,5 m²;Antareksenkatu 22 A, Kalasatama, Helsinki;2h+avok+kph/wc+sauna+parveke (yj. mukaan 2h+kt+s);2013;Kerrostalo;369 000 €;290,20 € / kk;51,5 m²;2;5 / 6;Kalasatama;Helsinki
Capellan puistotie 26 A, Kalasatama, Helsinki●2h+k+kph+lasitettu parv.;299 000 €;54 m²;Capellan puistotie 26 A, Kalasatama, Helsinki;2h+k+kph+lasitettu parv.;2022;Kerrostalo;299 000 €;356,40 € / kk;54 m²;2;1 / 7;Kalasatama;Helsinki
Vanha talvitie 31 A15, Kalasatama, Helsinki●1h+kph;362 850 €;61,5 m²;Vanha talvitie 31 A15, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;362 850 €;N/A;61,5 m²;2;3;Kalasatama;Helsinki
Verkkoneula 5 C 98, Kalasatama, Helsinki●2h + kt;39 728 €;44 m²;Verkkoneula 5 C 98, Kalasatama, Helsinki;2h + kt;2024;Kerrostalo;N/A;N/A;44 m²;2;8 / 10;Kalasatama;Helsinki
Sompasaarenlaituri 24 H 41, Kalasatama, Helsinki●2h+kt+s;620 600 €;54,5 m²;Sompasaarenlaituri 24 H 41, Kalasatama, Helsinki;2h+kt+s;2024;Kerrostalo;620 600 €;N/A;54,5 m²;2;5 / 6;Kalasatama;Helsinki
Sörnäistenlaituri 5 A, Kalasatama, Helsinki●2 h + kt + parvi;520 000 €;52 m²;Sörnäistenlaituri 5 A, Kalasatama, Helsinki;2 h + kt + parvi;2017;Kerrostalo;520 000 €;N/A;52 m²;2;1 / 8;Kalasatama;Helsinki
Capellan puistotie 8 B, Kalasatama, Helsinki●2-3h, k, kph, s, las.parveke;449 500 €;65,5 m²;Capellan puistotie 8 B, Kalasatama, Helsinki;2-3h, k, kph, s, las.parveke;2013;Kerrostalo;449 500 €;369,09 € / kk;65,5 m²;2;2 / 6;Kalasatama;Helsinki
Capellan puistotie 19, Kalasatama, Helsinki●2h, avok, kph, p;311 000 €;50 m²;Capellan puistotie 19, Kalasatama, Helsinki;2h, avok, kph, p;2020;Kerrostalo;311 000 €;255 € / kk;50 m²;2;4 / 6;Kalasatama;Helsinki
Sörnäistenlaituri 3 G, Kalasatama, Helsinki●2h+k+sauna;398 000 €;53,5 m²;Sörnäistenlaituri 3 G, Kalasatama, Helsinki;2h+k+sauna;2013;Kerrostalo;398 000 €;267,50 € / kk;53,5 m²;2;5 / 7;Kalasatama;Helsinki
Englantilaisaukio 10 A, Kalasatama, Helsinki●2 h, k, viherh,  kph, vh;468 000 €;47,5 m²;Englantilaisaukio 10 A, Kalasatama, Helsinki;2 h, k, viherh,  kph, vh;2021;Kerrostalo;468 000 €;294,50 € / kk;47,5 m²;2;20 / 32;Kalasatama;Helsinki
Pengerkatu 29 B, Kallio, Helsinki●2 h+k;257 000 €;51,4 m²;Pengerkatu 29 B, Kallio, Helsinki;2 h+k;1937;Kerrostalo;257 000 €;272,42 € / kk;51,4 m²;2;2 / 7;Kallio;Helsinki
Helsinginkatu 34 C, Kallio, Helsinki●2h, avok, kph, s, et, parveke;298 000 €;46 m²;Helsinginkatu 34 C, Kallio, Helsinki;2h, avok, kph, s, et, parveke;2008;Kerrostalo;298 000 €;345 € / kk;46 m²;2;2 / 8;Kallio;Helsinki
Vesannontie 5, Vallila, Helsinki●2h, avok, kph, parveke;189 000 €;32,5 m²;Vesannontie 5, Vallila, Helsinki;2h, avok, kph, parveke;1938;Kerrostalo;189 000 €;351 € / kk;32,5 m²;2;1 / 3;Vallila;Helsinki
Capellan puistotie 3 C, Kalasatama, Helsinki●2h+avok+kph (yj:n mukaan 1h+ks);262 000 €;32 m²;Capellan puistotie 3 C, Kalasatama, Helsinki;2h+avok+kph (yj:n mukaan 1h+ks);2013;Kerrostalo;262 000 €;160 € / kk;32 m²;2;6 / 7;Kalasatama;Helsinki
Työpajanpiha 2 C, Kalasatama, Helsinki●2h+avok+kph+parveke;368 000 €;53 m²;Työpajanpiha 2 C, Kalasatama, Helsinki;2h+avok+kph+parveke;2021;Kerrostalo;368 000 €;233,20 € / kk;53 m²;2;4 / 16;Kalasatama;Helsinki
Capellan puistotie 26 A, Kalasatama, Helsinki●2h, avok, kh ( 2h+kt);349 000 €;54,5 m²;Capellan puistotie 26 A, Kalasatama, Helsinki;2h, avok, kh ( 2h+kt);2022;Kerrostalo;349 000 €;359,70 € / kk;54,5 m²;2;6 / 7;Kalasatama;Helsinki
Konttisatamankatu 2 G 27, Kalasatama, Helsinki●2h+kt;480 900 €;37 m²;Konttisatamankatu 2 G 27, Kalasatama, Helsinki;2h+kt;2024;Kerrostalo;480 900 €;N/A;37 m²;2;6 / 6;Kalasatama;Helsinki
Vanha talvitie 31 A42, Kalasatama, Helsinki●1h+kph;393 600 €;61,5 m²;Vanha talvitie 31 A42, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;393 600 €;N/A;61,5 m²;2;7;Kalasatama;Helsinki
Verkkoneula 5 C 60, Kalasatama, Helsinki●2h + k + p;35 507 €;40,5 m²;Verkkoneula 5 C 60, Kalasatama, Helsinki;2h + k + p;2024;Kerrostalo;N/A;N/A;40,5 m²;2;3 / 10;Kalasatama;Helsinki
Capellan puistotie 13 B, Kalasatama, Helsinki●2h+avok+kph+vh+iso lasitettu parveke;389 000 €;42,5 m²;Capellan puistotie 13 B, Kalasatama, Helsinki;2h+avok+kph+vh+iso lasitettu parveke;2021;Kerrostalo;389 000 €;242,25 € / kk;42,5 m²;2;5 / 7;Kalasatama;Helsinki
Englantilaisaukio 10, Kalasatama, Helsinki●2h+kt;459 000 €;47,5 m²;Englantilaisaukio 10, Kalasatama, Helsinki;2h+kt;2021;Kerrostalo;459 000 €;294,50 € / kk;47,5 m²;2;17 / 32;Kalasatama;Helsinki
Tukkutorinkuja 16 A, Kalasatama, Helsinki●2h+kt;335 000 €;40,5 m²;Tukkutorinkuja 16 A, Kalasatama, Helsinki;2h+kt;2019;Kerrostalo;335 000 €;153,90 € / kk;40,5 m²;2;5 / 8;Kalasatama;Helsinki
Sörnäistenlaituri 3, Kalasatama, Helsinki●2h + avok + s + p;485 000 €;54,5 m²;Sörnäistenlaituri 3, Kalasatama, Helsinki;2h + avok + s + p;2013;Kerrostalo;485 000 €;267,05 € / kk;54,5 m²;2;3 / 8;Kalasatama;Helsinki
Kalasatamankatu 9 A, Kalasatama, Helsinki●2h+kt+viherh.;645 000 €;57,5 m²;Kalasatamankatu 9 A, Kalasatama, Helsinki;2h+kt+viherh.;2019;Kerrostalo;645 000 €;327,75 € / kk;57,5 m²;2;34 / 35;Kalasatama;Helsinki
Työpajanpiha 2 C, Kalasatama, Helsinki●2h+k;399 000 €;44,5 m²;Työpajanpiha 2 C, Kalasatama, Helsinki;2h+k;2021;Kerrostalo;399 000 €;N/A;44,5 m²;2;2 / 16;Kalasatama;Helsinki
Kalasatamankatu 9 A46, Kalasatama, Helsinki●2h+avok+kph+vh+viherh;369 000 €;37 m²;Kalasatamankatu 9 A46, Kalasatama, Helsinki;2h+avok+kph+vh+viherh;2019;Kerrostalo;369 000 €;210,90 € / kk;37 m²;2;10 / 35;Kalasatama;Helsinki
